Timestamp (24hr),Timestamp (Epoch UTC),Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2025-09-02 00:00:00,1756751400,39.28,98.97,20.82,61.94,55.92,87.54,46.32,20.57,46.68,86.83
2025-09-02 00:00:01,1756751401,94.01,39.16,83.07,73.04,10.91,39.62,40.74,95.44,50.27,44.51
2025-09-02 00:00:02,1756751402,27.17,92.13,37.01,83.06,68.03,68.16,83.02,22.4,12.55,54.73
2025-09-02 00:00:03,1756751403,99.03,58.73,96.28,57.95,70.99,54.55,92.6,46.72,73.57,79.77
2025-09-02 00:00:04,1756751404,63.06,37.14,45.79,93.1,32.36,93.72,56.61,71.31,38.71,73.6
2025-09-02 00:00:05,1756751405,99.89,85.09,73.84,58.39,58.38,30.07,12.84,83.17,15.09,57.93
2025-09-02 00:00:06,1756751406,41.23,94.92,72.46,17.69,18.07,46.44,48.0,16.41,16.04,75.1
2025-09-02 00:00:07,1756751407,25.9,86.0,50.13,72.72,66.84,13.37,32.41,38.3,28.19,63.8
2025-09-02 00:00:08,1756751408,14.39,56.12,84.47,97.11,60.09,22.6,61.9,42.47,47.63,53.1
2025-09-02 00:00:09,1756751409,18.14,86.5,48.16,72.82,55.26,95.43,34.29,41.57,55.44,93.07
2025-09-02 00:00:10,1756751410,94.08,55.46,40.8,22.14,83.27,14.56,86.21,72.21,53.54,55.02
2025-09-02 00:00:11,1756751411,77.67,40.01,33.35,22.24,66.18,53.57,44.34,10.27,48.45,91.06
2025-09-02 00:00:12,1756751412,70.91,92.63,99.72,94.48,31.83,38.27,89.73,36.91,45.27,15.32
2025-09-02 00:00:13,1756751413,48.16,27.28,23.14,39.32,64.91,83.28,20.32,52.34,96.74,21.47
2025-09-02 00:00:14,1756751414,44.19,35.43,67.15,24.58,64.22,47.66,78.46,88.21,94.31,66.13
2025-09-02 00:00:15,1756751415,96.82,56.35,67.79,28.67,14.42,10.37,22.43,22.03,34.94,46.23
2025-09-02 00:00:16,1756751416,97.75,64.65,84.48,19.37,22.25,77.98,92.47,71.85,33.04,45.19
2025-09-02 00:00:17,1756751417,60.46,20.64,86.57,29.59,68.47,77.84,47.56,25.38,50.32,75.1
2025-09-02 00:00:18,1756751418,11.82,40.99,30.55,74.08,59.13,53.52,74.96,46.47,24.7,83.69
2025-09-02 00:00:19,1756751419,19.72,77.1,95.52,42.99,34.95,38.69,36.18,97.12,64.44,63.67
2025-09-02 00:00:20,1756751420,75.87,30.13,72.12,87.14,43.14,82.95,52.52,51.78,78.26,88.25
2025-09-02 00:00:21,1756751421,57.39,47.51,91.03,85.28,36.95,58.85,75.65,42.54,77.55,45.43
2025-09-02 00:00:22,1756751422,11.39,89.99,96.96,22.54,69.69,92.55,39.83,68.39,22.91,20.98
2025-09-02 00:00:23,1756751423,20.05,14.38,17.32,74.97,88.76,84.45,31.97,83.18,83.99,86.52
2025-09-02 00:00:24,1756751424,62.41,65.65,25.83,90.36,49.6,42.01,90.26,59.16,86.62,93.97
2025-09-02 00:00:25,1756751425,60.44,36.41,40.03,34.63,81.72,48.65,15.81,52.24,89.82,73.54
2025-09-02 00:00:26,1756751426,41.75,75.22,40.9,12.7,83.71,53.35,39.91,68.97,55.88,28.27
